name,url,path,aliases,tags
basta,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/basta.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/basta.opus,,
battlecry,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/battlecry.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/battlecry.opus,,
beach,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/beach.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/beach.opus,,spongebob
beatdown,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/beatdown.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/beatdown.opus,,
beatmymeat,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/beatmymeat.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/beatmymeat.opus,,
because,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/because.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/because.opus,,
bed,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bed.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bed.opus,twobedstuesday,daysoftheweek
bees,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bees.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bees.opus,,arrested
behumble,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/behumble.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/behumble.opus,,rap
believeit,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/believeit.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/believeit.opus,,
betray,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/betray.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/betray.opus,fedup,
bigboi,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bigboi.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bigboi.opus,,
bigmac,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bigmac.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bigmac.opus,,
bigslut,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bigslut.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bigslut.opus,,
bigtruck,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bigtruck.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bigtruck.opus,criminalillegals,"politician,problematic"
BiiBoBi,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/BiiBoBi.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/BiiBoBi.opus,,
bingbong,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bingbong.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bingbong.opus,"💯, bing",politician
birdseed,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/birdseed.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/birdseed.opus,,
bitch,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bitch.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bitch.opus,,
bitch3,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bitch3.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bitch3.opus,"bitchihope, ihopethefuckyoudo, ihope",
bitch4,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bitch4.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bitch4.opus,"iloveyoubitch, loveyoubitch, loveyou",
bitch5,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bitch5.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bitch5.opus,"smelllikebitch, smellbitch, loiterbitch, earlbitch",
bitches,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bitches.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bitches.opus,,
biwinning,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/biwinning.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/biwinning.opus,,
bjork,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/bjork.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/bjork.opus,,
