name,tags,audio_url,page_url,file_path
Yeet it out! (original),"Meme,Funny,Yeet,Original",https://www.voicy.network/Content/Clips/Sound/ca2ee934-a17d-46af-ab5f-8f707adbf593.wav,https://www.voicy.network/clips/U2lh1XEiMEuniQHSK04VGQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/ca2ee934-a17d-46af-ab5f-8f707adbf593.wav
"""Just Do It""","Just,Do,It",https://www.voicy.network/Content/Clips/Sound/db378946-07bc-4973-a97d-a4e75eabebec.mp3,https://www.voicy.network/clips/uD_3hAdoCEOmbMDhFFVkJQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/db378946-07bc-4973-a97d-a4e75eabebec.mp3
Spotify 6,"MP3,Original,download,Spotify,SoundEffects,SFX,SoundFX,Music",https://www.voicy.network/Content/Clips/Sound/405a6de6-d742-4b4c-a849-f0ef5f71b380.mp3,https://www.voicy.network/clips/4BOoVBV1F0_r3HvvUrNzgQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/405a6de6-d742-4b4c-a849-f0ef5f71b380.mp3
Dance Til Your Dead (EARRAPE),ghjk,https://www.voicy.network/Content/Clips/Sound/99ec91c8-df4d-481b-90f2-e8343795dbf7.mp3,https://www.voicy.network/clips/AdKSyjSU-ECQ29kvickADg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/99ec91c8-df4d-481b-90f2-e8343795dbf7.mp3
Who me my name's Kaitlyn,"MP3,Original,download,PS4,GamerGirl,Cute,Quotes,Lines,Sayings,Fix",https://www.voicy.network/Content/Clips/Sound/c2bd175f-46aa-497b-a44f-cd16d003e358.mp3,https://www.voicy.network/clips/zcpBqJevzkG_gdO2TLZngw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/c2bd175f-46aa-497b-a44f-cd16d003e358.mp3
Among Us report body,"AmongUs,among,us,Report,Death,Body,Game,Gaming,Games,Twitch,streaming",https://www.voicy.network/Content/Clips/Sound/3bfdadab-18cd-4eaf-9b21-944d2ffae8ed.mp3,https://www.voicy.network/clips/kbWFF94hMk2irzOcfXLZDg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/3bfdadab-18cd-4eaf-9b21-944d2ffae8ed.mp3
Among Us (Role Reveal) - Sound Effect (HD),among,https://www.voicy.network/Content/Clips/Sound/02a6f25d-f2c9-4167-a6bc-fecf3621f577.mp3,https://www.voicy.network/clips/Na848RDUsUGNLkqNvCtAag,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/02a6f25d-f2c9-4167-a6bc-fecf3621f577.mp3
I’m gonna say the n word earrape,jdjd,https://www.voicy.network/Content/Clips/Sound/efba3c02-3d09-4d1b-80c3-2c730c8d3b9a.mp3,https://www.voicy.network/clips/Za6r24iHS0KAjHpQTOecYw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/efba3c02-3d09-4d1b-80c3-2c730c8d3b9a.mp3
Pop Smoke - For The Night,"Crip,ife",https://www.voicy.network/Content/Clips/Sound/ceb641d1-a271-49b0-8222-e82fa57b904e.mp3,https://www.voicy.network/clips/FkkM0j4f3Uq-92FYjBwIwQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/ceb641d1-a271-49b0-8222-e82fa57b904e.mp3
What Do You Mean By Dat?,"Meme,Comedy,Funny,Weird,Random,King,Yeet,ckcomedy,whatdoyoumeanbydat,whatdoyoumeanbythat,kingminion,minion",https://www.voicy.network/Content/Clips/Sound/91c0d471-728d-478d-b010-da6759edcaa1.wav,https://www.voicy.network/clips/gLTf_9Sj0kS0pt-scSgp2w,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/91c0d471-728d-478d-b010-da6759edcaa1.wav
Obi-Wan Says Hello There,Memes,https://www.voicy.network/Content/Clips/Sound/475d0644-0983-4518-9ad3-50c759329123.mp3,https://www.voicy.network/clips/mF4zid6wiEWCz1WgzCI_kw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/475d0644-0983-4518-9ad3-50c759329123.mp3
When you know someone's on drugs,"Meme,Funny,Random,Yeet,Nerd,Yes,Dank,Derp,REE,pleb,swag,derpy",https://www.voicy.network/Content/Clips/Sound/3dbe509d-6b98-49b5-be18-042eb9b8a817.wav,https://www.voicy.network/clips/G4Ibeh968UCUgLnGDLKdQw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/3dbe509d-6b98-49b5-be18-042eb9b8a817.wav
Jixaw's metal sound,"Meme,bottom,Gear,Jixaw",https://www.voicy.network/Content/Clips/Sound/ecb3071a-0e87-46cd-9b9b-bd5be341e613.mp3,https://www.voicy.network/clips/xFcai3i8aE6ifvKnAxfkRg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/ecb3071a-0e87-46cd-9b9b-bd5be341e613.mp3
You look like,You,https://www.voicy.network/Content/Clips/Sound/e9d28b07-7f89-4a04-a8d6-41122a70a049.mp3,https://www.voicy.network/clips/rglow8KC5UyaJ3WG8ezSJQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/e9d28b07-7f89-4a04-a8d6-41122a70a049.mp3
Popular Meme Sound Effects (HD),oyess,https://www.voicy.network/Content/Clips/Sound/036509c7-44be-4751-a5e5-c376ebf297d6.mp3,https://www.voicy.network/clips/efXGFCiYSEGeqdMuYvnZZw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/036509c7-44be-4751-a5e5-c376ebf297d6.mp3
fish,Fish,https://www.voicy.network/Content/Clips/Sound/20f3c100-ccae-421a-b5e2-556eb23a4861.mp3,https://www.voicy.network/clips/9-hhi7ixuUubY_RHys-KDA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/20f3c100-ccae-421a-b5e2-556eb23a4861.mp3
Spotify 5,"MP3,Original,download,Spotify,SoundEffects,SFX,SoundFX,Music",https://www.voicy.network/Content/Clips/Sound/8dbf3700-97f0-4ca9-8852-a0ca798727f3.mp3,https://www.voicy.network/clips/5Mi1KZkkNU64IEa-eIsU2g,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/8dbf3700-97f0-4ca9-8852-a0ca798727f3.mp3
A MAN HAS FALLEN INTO THE RIVER,lego,https://www.voicy.network/Content/Clips/Sound/c4519a88-d095-4735-9ee4-2973a7106574.wav,https://www.voicy.network/clips/o129TQBLpkGXvkNTntMRrA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/c4519a88-d095-4735-9ee4-2973a7106574.wav
Lord have mercy,Yo,https://www.voicy.network/Content/Clips/Sound/fb10eab9-1fcc-4b37-8e14-906a302c4a0f.mp3,https://www.voicy.network/clips/SfjjA55Pi02N7KqcodfHWw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/fb10eab9-1fcc-4b37-8e14-906a302c4a0f.mp3
Thank you,"MP3,Original,download,PS4,GamerGirl,Cute,Quotes,Lines,Sayings,Fix",https://www.voicy.network/Content/Clips/Sound/f1cd06c1-c838-43e6-9fe8-382e49b5de31.mp3,https://www.voicy.network/clips/y9e4sCLRCkeUDehH-F8bmg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/f1cd06c1-c838-43e6-9fe8-382e49b5de31.mp3
Lil Eazzyy - Onna Come Up,Song,https://www.voicy.network/Content/Clips/Sound/093772fb-5880-4a35-ade8-d9d46f926cc1.mp3,https://www.voicy.network/clips/Hfxc13kjt0Gc__pGNMCw3w,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/093772fb-5880-4a35-ade8-d9d46f926cc1.mp3
I'm 19,"MP3,Original,download,PS4,GamerGirl,Cute,Quotes,Lines,Sayings,Fix",https://www.voicy.network/Content/Clips/Sound/99fa3a9f-4657-4703-9165-e8c6e5bb1f1e.mp3,https://www.voicy.network/clips/Am27d-xb7kiSUBYpV1osUA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/99fa3a9f-4657-4703-9165-e8c6e5bb1f1e.mp3
daddy,Daddy,https://www.voicy.network/Content/Clips/Sound/6dfb2546-0df7-4e56-9693-50b0a75af69a.mp3,https://www.voicy.network/clips/8_jgcWCnY0KQr7QY9KMj-Q,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/6dfb2546-0df7-4e56-9693-50b0a75af69a.mp3
Not telling you stalker,"MP3,Original,download,PS4,GamerGirl,Cute,Quotes,Lines,Sayings,Fix",https://www.voicy.network/Content/Clips/Sound/be131e7b-3d32-4b5a-ac23-c96d96ee5e8a.mp3,https://www.voicy.network/clips/-WOYEC-B5EiravQFPjXx0A,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/be131e7b-3d32-4b5a-ac23-c96d96ee5e8a.mp3
Onii-Chan Audio69,"MP3,Original,download,Oniichan,Cute,Anime,Family,Brother,Hentai,Sayings",https://www.voicy.network/Content/Clips/Sound/c2155f4d-eee6-473f-8c0e-a9a1495923b3.mp3,https://www.voicy.network/clips/NMPYeGtwo0uZgRjohGaMKw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/c2155f4d-eee6-473f-8c0e-a9a1495923b3.mp3
Among Us Emergency meeting button,"AmongUs,among,us,Emergency,Button,Game,Games,Gaming,Twitch,streaming,emergencymeeting",https://www.voicy.network/Content/Clips/Sound/c2138bae-e4a7-4585-82ab-a95e41e73016.mp3,https://www.voicy.network/clips/yM9pUZZhaEuSoEtxSICdtg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/c2138bae-e4a7-4585-82ab-a95e41e73016.mp3
Not a rick roll,"Trust,Me",https://www.voicy.network/Content/Clips/Sound/5cc26665-dc8b-4952-a663-4651dd8af3cf.mp3,https://www.voicy.network/clips/1NXZZ8_dvUGilMiDYANJ-Q,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/5cc26665-dc8b-4952-a663-4651dd8af3cf.mp3
I like ya cut g,cutg,https://www.voicy.network/Content/Clips/Sound/9afbc0bc-002c-495f-a08c-4097e45a3d58.mp3,https://www.voicy.network/clips/7KOvSEvdukG8f4ZfoPnbEA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/9afbc0bc-002c-495f-a08c-4097e45a3d58.mp3
When my brother blames me for something,Liar,https://www.voicy.network/Content/Clips/Sound/d7dedf9d-5ece-4a69-9934-464baad2434e.mp3,https://www.voicy.network/clips/69w1sdCdiUaTCnZ9ct085g,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/d7dedf9d-5ece-4a69-9934-464baad2434e.mp3
VALORANT sage u will not kill my allies,Valorant,https://www.voicy.network/Content/Clips/Sound/f1254bac-6d0c-4667-8572-3ad3806d2d28.mp3,https://www.voicy.network/clips/lTg6FBEVV0iKMVDagcfFCw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/f1254bac-6d0c-4667-8572-3ad3806d2d28.mp3
Onii-Chan Audio72,"MP3,Original,download,Oniichan,Cute,Anime,Family,Brother,Hentai,Sayings",https://www.voicy.network/Content/Clips/Sound/c17a6730-26ac-41fb-816f-7472cfcdc856.mp3,https://www.voicy.network/clips/fLAsHjsafE_cyyNmGdhcLw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/c17a6730-26ac-41fb-816f-7472cfcdc856.mp3
Zap,"MP3,Original,download,Fortress,Fortress2,Games,TeamFortress,Memes,Quotes,Sayings,Lines",https://www.voicy.network/Content/Clips/Sound/9ca7bd64-0836-4ca4-a45b-dc70d36b4693.mp3,https://www.voicy.network/clips/LzcwR8ZTckK1Cw3oraoV1Q,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/9ca7bd64-0836-4ca4-a45b-dc70d36b4693.mp3
Among Us kill,"among,us,AmongUs,Game,Gaming,Games,Twitch,streaming,Imposter,Kill,Stabbing",https://www.voicy.network/Content/Clips/Sound/be335101-697d-462c-b152-785d7a426d13.mp3,https://www.voicy.network/clips/9dOMW6d2m0Kx1FS1Auluuw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/be335101-697d-462c-b152-785d7a426d13.mp3
dorime EARRAPE,JK,https://www.voicy.network/Content/Clips/Sound/9dd5fd9e-4e2d-4d4e-969e-df7bf70f7697.mp3,https://www.voicy.network/clips/rD7RT8Mx20SwY0LVlvSrJA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/9dd5fd9e-4e2d-4d4e-969e-df7bf70f7697.mp3
How old are you guys?,"MP3,Original,download,PS4,GamerGirl,Cute,Quotes,Lines,Sayings,Fix",https://www.voicy.network/Content/Clips/Sound/e62eaff1-b565-440e-a012-efc8769e7dce.mp3,https://www.voicy.network/clips/OGJ_67lB4E2EjFanBD2TqQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/e62eaff1-b565-440e-a012-efc8769e7dce.mp3
UI - Wakesound touch,"MP3,Original,download,Amazon,Alexa,Devices,SmartHome,SoundFX,SoundEffects,SFX,tech,Technology,Innovation",https://www.voicy.network/Content/Clips/Sound/7574941e-d3a7-4d43-9de2-682a6f945e4c.mp3,https://www.voicy.network/clips/vqknMqeAVkCL3DBOhvO2RA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/7574941e-d3a7-4d43-9de2-682a6f945e4c.mp3
whole bag of jellybean,jellybeans,https://www.voicy.network/Content/Clips/Sound/883feb7f-e159-4b64-968d-ab8e75d07d42.mp3,https://www.voicy.network/clips/NnGklC7uWEyXYWdZ_j5DJg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/883feb7f-e159-4b64-968d-ab8e75d07d42.mp3
Among Us - Stationary Kill,"AmongUs,Kill,SoundFX,SoundEffect,SFX,Imposter,Games,Gamer,Twitch",https://www.voicy.network/Content/Clips/Sound/d0e70450-ff2b-4018-9ead-533c8b5b9d05.mp3,https://www.voicy.network/clips/4OAiX5oJZ0OK_RJ-4TIf6A,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/d0e70450-ff2b-4018-9ead-533c8b5b9d05.mp3
You still talking,"MP3,Original,download,AngryGrandpa,CharlesGreen,Angry,TheAngryGrandpaShow,GrandpasCorner,GrandpasArmy",https://www.voicy.network/Content/Clips/Sound/1da6a138-34b6-457a-941e-e40623d222d5.mp3,https://www.voicy.network/clips/-fgxIq9IfkK_vC1q8a5c-Q,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/1da6a138-34b6-457a-941e-e40623d222d5.mp3
Among Us - All vote out typing,"AmongUs,Typing,SoundFX,Imposter,SFX,Twitch,Games,Gamer,SoundEffect",https://www.voicy.network/Content/Clips/Sound/dd67a9b4-10f2-459f-9de7-25b4b628c4f2.mp3,https://www.voicy.network/clips/jd52vwrR90O6sGBgQB25DQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/dd67a9b4-10f2-459f-9de7-25b4b628c4f2.mp3
Among Us death 4 (stabbing),"AmongUs,among,us,Knife,Stabbing,Game,Games,Gaming,Imposter,Killing,Kill,Death,Twitch,streaming",https://www.voicy.network/Content/Clips/Sound/a9758c01-9b30-453f-95f4-0be6ed772582.mp3,https://www.voicy.network/clips/rOT5eN_HyUyjpR5Cd74pgA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/a9758c01-9b30-453f-95f4-0be6ed772582.mp3
You think i didn't get all the god damn put out about,"MP3,Original,download,AngryGrandpa,CharlesGreen,Angry,TheAngryGrandpaShow,GrandpasCorner,GrandpasArmy",https://www.voicy.network/Content/Clips/Sound/26c42f77-15a5-4620-8c9f-0c3129671ebd.mp3,https://www.voicy.network/clips/KgTUyigxEUGlz_XQfaXDVA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/26c42f77-15a5-4620-8c9f-0c3129671ebd.mp3
Spotify 11,"MP3,Original,download,Spotify,SoundEffects,SFX,SoundFX,Music",https://www.voicy.network/Content/Clips/Sound/9c5e04b2-cfad-4c22-81a5-84a2eced3bf1.mp3,https://www.voicy.network/clips/O7WUhcXlk0246R4LjsCrIQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/9c5e04b2-cfad-4c22-81a5-84a2eced3bf1.mp3
when you don't have a reflection in the mirrior,Oh,https://www.voicy.network/Content/Clips/Sound/de024194-cab7-44ae-9c30-17eef6a6e4b9.mp3,https://www.voicy.network/clips/vkroRALWRE690ocD0iexuA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/de024194-cab7-44ae-9c30-17eef6a6e4b9.mp3
Oh okay,"MP3,Original,download,PS4,GamerGirl,Cute,Quotes,Lines,Sayings,Fix",https://www.voicy.network/Content/Clips/Sound/8fd379fb-e5b2-41c7-8927-a8c88e8fd1e4.mp3,https://www.voicy.network/clips/GXAi0wSg6UeS__xObzJisg,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/8fd379fb-e5b2-41c7-8927-a8c88e8fd1e4.mp3
no no nooo!,No,https://www.voicy.network/Content/Clips/Sound/2063e265-125a-4351-8117-d1ba74bc504f.mp3,https://www.voicy.network/clips/EQAmesTJB0e8txuAV8K4hA,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/2063e265-125a-4351-8117-d1ba74bc504f.mp3
Peter griffin (he he he),He,https://www.voicy.network/Content/Clips/Sound/8802873b-8362-4cb0-be04-3e52eafa7871.mp3,https://www.voicy.network/clips/ch9Yy34fA0a9_7bPYoTpJQ,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/8802873b-8362-4cb0-be04-3e52eafa7871.mp3
I'm So Fresh,"Meme,Epic",https://www.voicy.network/Content/Clips/Sound/4733462a-0488-4d8f-9bd4-38d7707b0272.mp3,https://www.voicy.network/clips/YvR-joZyU0Ssi_PTSykeEw,C:/Class Documents/DL/project/audio_data_downloader/voicy/dataset/4733462a-0488-4d8f-9bd4-38d7707b0272.mp3
